ruck ,24.26,24.39
ruck ,24.46,24.5
ruck ,24.55,24.57
ruck ,25.51,25.55
ruck ,26.0,26.05
ruck ,26.14,26.18
ruck ,26.3,26.32
ruck ,26.37,26.42
ruck ,27.05,27.1
ruck ,29.36,29.4
ruck ,31.01,31.05
ruck ,31.1,31.13
ruck ,33.02,33.08
ruck ,37.56,38.0
ruck ,38.07,38.11
ruck ,38.26,38.32
ruck ,38.41,38.45
ruck ,38.51,38.56
ruck ,38.59,39.01
ruck ,43.38,43.41
ruck ,43.46,43.5
ruck ,43.52,44.0
ruck ,44.03,44.06
ruck ,46.03,46.09
ruck ,46.11,46.17
scrum,23.22,23.34
 lineout,25.37,25.41
lineout,30.57,30.58
lineout,32.28,32.29
scrum,35.47,35.53
scrum,39.58,40.06
scrum,43.27,43.34
scrum,50.33,50.44
scrum,51.23,51.36
scrum,52.17,52.3
lineout,1.00.31,1.00.32
lineout,1.16.06,1.16.09
lineout,1.17.32,1.17.34
lineout,1.22.15,1.22.18
lineout,1.23.35,1.23.40
lineout,2.26.13,1.26.17
scrum,1.28.04,1.28.08
lineout,1.29.23,1.29.41
lineout,1.35.15,1.35.17
lineout,1.36.50,1.36.53
lineout,1.37.43,1.37.50
lineout,1.50.15,1.50.25
lineout,1.51.45,1.51.47
lineout,1.54.48,1.54.50
lineout,1.57.43,1.57.46
scrum,2.01.02,2.01.08
