lineout,47.5,47.52
lineout,49.3,49.32
scrum,53.5,53.51
scrum,54.52,55.0
scrum,55.24,55.32
lineout,58.26,58.3
scrum,01:00:26,1.00.33
scrum,1.01.25,1.01.31
lineout,01:05:01,1.05.03
lineout,1.06.03,1.06.05
lineout,1.12.32,1.12.35
scrum,"1.13,58",1.14.05
lineout,1.19.36,1.19.39
scrum,1.20.15,1.20.25
lineout,1.21.03,1.21.06
lineout,1.24.32,1.24.34
scrum,1.27.02,1.27.09
lineout,1.28.48,1.28.50
lineout,1.30.23,1.30.25
lineout,1.43.06,1.43.09
lineout,1.50.28,1.50.31
scrum,1.51.20,1.51.23
lineout,1.52.35,1.52.38
lineout,1.54.09,1.54.12
scrum,1.57.18,1.57.24
lineout,1.58.15,1.58.17
lineout,2.01.36,2.01.38
scrum,2.08.22,2.08.31
lineout,2.09.32,2.09.35
lineout,2.12.11,2.12.14
scrum,2.16.20,2.16.28
lineout,2.22.38,2.22.43
lineout,2.24.24,2.24.27
